,word_1,word_2,mc_sim,path_sim,res_sim,lin_sim,word2vec_sim
0,asylum,madhouse,3.61,0.5,9.4752,0.8556,0.2525393068790436
1,bird,cock,3.05,0.5,7.6778,0.7739,0.3629024028778076
2,bird,crane,2.97,0.25,7.6778,0.7478,0.30286192893981934
3,boy,lad,3.76,0.5,8.3995,0.8306,0.5886159539222717
4,brother,monk,2.82,0.5,9.2616,0.9864,0.22320020198822021
5,car,automobile,3.92,1.0,7.5914,1.0,0.5838367342948914
6,cemetery,woodland,0.95,0.1111,1.29,0.1234,0.3819250464439392
7,chord,smile,0.13,0.0909,2.6196,0.2463,0.14869236946105957
8,coast,forest,0.42,0.1667,1.29,0.1306,0.23609790205955505
9,coast,hill,0.87,0.2,5.8847,0.5991,0.1611577570438385
10,coast,shore,3.7,0.5,9.4157,0.9632,0.5083667039871216
11,crane,implement,1.68,0.2,3.2577,0.3591,0.023186154663562775
12,food,fruit,3.08,0.1,1.5928,0.161,0.37409257888793945
13,food,rooster,0.89,0.0625,0.8018,0.0919,0.118306465446949
14,forest,graveyard,0.84,0.1111,1.29,0.1234,0.22901120781898499
15,furnace,stove,3.11,0.1,2.3058,0.2281,0.6083910465240479
16,gem,jewel,3.84,1.0,12.0677,1.0,0.6210810542106628
17,glass,magician,0.11,0.125,2.2826,0.2142,0.0372249111533165
18,journey,car,1.16,0.0556,-0.0,-0.0,0.09849625080823898
19,journey,voyage,3.84,0.5,6.826,0.7777,0.6830852627754211
20,lad,brother,1.66,0.2,2.3335,0.2552,0.3595924973487854
21,lad,wizard,0.42,0.2,2.3335,0.2551,0.33023005723953247
22,magician,wizard,3.5,1.0,11.9807,1.0,0.48634961247444153
23,midday,noon,3.42,1.0,11.0644,1.0,0.5527406930923462
24,monk,oracle,1.1,0.125,2.3335,0.2257,0.30354034900665283
25,monk,slave,0.55,0.2,2.3335,0.2543,0.19146227836608887
26,noon,string,0.08,0.0833,0.5962,0.0662,0.021654507145285606
27,rooster,voyage,0.08,0.0417,-0.0,-0.0,0.06275810301303864
28,shore,woodland,0.63,0.2,1.29,0.1356,0.116909459233284
29,tool,implement,1.68,0.5,5.8774,0.9472,0.2123422920703888
